CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2002-1852,Solano County Office of Education,2002-1852.pdf (http://cdiacdocs.sto.ca.gov/2002-1852.pdf),SOLD,11/06/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Board of Education,,6300000,6300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.647,,TIC,,,,11/13/2003 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Zions Bank,,,,KNN/Kelling Northcross & Nobriga Inc,Quint & Thimmig LLP,,,,Solano County,0.37,23000,,,,52718,,10000,5000,,,,,,4920,3080
1987-0163,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/07/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Western St/Claybank Rd,965000,0,965000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Tax increment,,6.534,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,1.68,16172,,,,20000,,,,,,,,,,
2000-1105,Vacaville Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/28/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Vacaville Community Housing,9310000,250710,9059290,,Conduit revenue bond,Multifamily Housing,Private obligor payments,6.249,,TIC,,,,11/01/2024 12:00:00 AM,N/A,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Seattle-Northwest Securities Corp,,,,CSG Advisors,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,3.98,370750,,,,,,,,,,,,,,
2002-0517,Benicia,2002-0517.pdf (http://cdiacdocs.sto.ca.gov/2002-0517.pdf),SOLD,05/28/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Fleetside Industrial Pk AD,3810000,0,3810000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,5.027,NIC,,,,09/02/2014 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,3.89,148235,,,,57150,,,,,,,,,,
1994-1610,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/01/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,18000000,18000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,5,,TIC,,,,11/01/1995 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Wendel Rosen Black & Dean,,,,Solano County,0.18,32000,,,,0,,,,,,,,,,
2000-1708,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/10/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,23075000,23075000,0,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,,VAR,,,,06/01/2031 12:00:00 AM,N/A,S:A+/A-1/A-,NOT RATED,NOT RATED,NOT RATED,LOC,KBC Bank NV,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,2.04,470204,,57688,,,,,,,,,,,,
2008-0059,Vallejo,2008-0059.pdf (http://cdiacdocs.sto.ca.gov/2008-0059.pdf),SOLD,05/10/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Datalux Computers,411052,411052,0,,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,,4.899,NIC,,,,08/01/2010 12:00:00 AM,NO,NOT RATED,M:Aaa,NOT RATED,NOT RATED,,,Neg,YES,,,Kansas State Bank of Manhattan,,,,,,,,,,,,,,,,,,,,,,,
1986-0256,Vallejo,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/06/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Glen Cove CAD No 61,17030000,0,17030000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,8.295,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1996-1318,Dixon,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/29/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,2635000,2635000,0,,Certificates of participation/leases,"Wastewater Collection, Treatment",Public enterprise revenues,,5.616,NIC,,,,09/01/2021 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Neg,Unknown,Smith Barney Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,Chemical Trust Company of California,3.81,100270,,,,33861,,,,,,,,,,
1997-0101,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/10/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Hillside Terrace Apts,5450000,5450000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,03/15/2027 12:00:00 AM,N/A,S:AAA/A-1+,NOT RATED,NOT RATED,NOT RATED,Oth,Federal National Mortgage Association,Neg,Unknown,Alden Capital Markets Inc,,,,,Jones Hall Hill & White,,,,BNY Mellon Capital Markets LLC,2,109000,,,,545000,,,,,,,,,,
1999-0781,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/01/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,4815000,4815000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,5.461,NIC,,,,07/15/2029 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Mark Pressman Associates,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,5.54,266796,,,,72225,,,,,,,,,,
2011-1520,Dixon,2011-1520.pdf (http://cdiacdocs.sto.ca.gov/2011-1520.pdf),SOLD,01/03/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,2786300,0,2786300,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,3.172,,TIC,,,01/12/2012 12:00:00 AM,10/01/2021 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Umpqua Bank,,Del Rio Advisors LLC,Quint & Thimmig LLP,,,,,2.6,72385.74,,,,,,13250,25000,,,,1000,,,33135.74
1985-1726,Fairfield Redevelopment Agency,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Highway 12,16180000,0,16180000,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,9.175,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Fairfield,,,,,Jones Hall Hill & White,,,,,0,0,,,,809000,,,,,,,,,,
1993-0761,Vallejo,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/27/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Glen Cove Comm AD No 61,18335000,0,18335000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,8.15,,TIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Vallejo Public Financing Authority,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0.33,60000,,,,0,,,,,,,,,,
1990-0527,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/27/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.824,NIC,,,,06/28/1991 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,,Alexander Millner & McGee,,,,,0,0,,,,26300,,,,,,,,,,
1990-0823,Fairfield Industrial Development Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/21/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Industrial Development  Authority,Medical Designs Concept Inc,3500000,3500000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,08/01/2005 12:00:00 AM,N/A,NOT RATED,M:Aa2,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Bank of America NT & SA,,,,,Jones Hall Hill & White,,,,,4.65,162889,,,,83750,,,,,,,,,,
1990-0883,Vallejo City Unified School District CFD No 2,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/31/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,,4005000,4005000,0,,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,7.83,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Bear Stearns & Company,,,,,Kronick Moskovitz Tiedemann & Girard,,,,,0.61,24300,,,,0,,,,,,,,,,
2014-0307,Successor Agency to the Vacaville Redevelopment Agency,2014-0307.pdf (http://cdiacdocs.sto.ca.gov/2014-0307.pdf),SOLD,02/27/2014 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Successor Agency,,28090000,0,28090000,2633991.5,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,3.488,3.693,,,,09/01/2024 12:00:00 AM,09/01/2031 12:00:00 AM,NO,S:A,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Piper Jaffray & Co,,,,KNN Public Finance,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,1.58,443389.6,,,,189326.6,,72500,75000,,40000,,6750,,21000,38813
1986-0342,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/11/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,3900000,3900000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,4.9,,TIC,,,,06/30/1987 12:00:00 AM,N/A,S:SP-1,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0.19,7555,,,,7410,,,,,,,,,,
1986-0119,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/01/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Alaska Ave-Heath Drive AD,1040000,0,1040000,,Special assessment bond,Street Construction and Improvements,Special assessments,,7.73,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,O:Unknown,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,1.63,17000,,,,65000,,,,,,,,,,
1993-0012,Vallejo Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/22/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Series B,9000000,9000000,0,,Revenue anticipation note,"Cash Flow, Interim Financing",Intergovernmental transfers other than grants,4.699,,TIC,,Federally Taxable,,01/16/1994 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Vallejo Redevelopment Agency,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1986-0312,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/18/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,15000000,15000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,4.955,NIC,,,,07/30/1987 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of America NT & SA,,,,,Alexander Millner & McGee,,,,,0,0,,,,30800,,,,,,,,,,
1988-0233,Vacaville Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/28/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,11950000,11950000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,8.182,NIC,,,,,N/A,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Comp,Unknown,Smith Barney Harris Upham & Co Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0.31,37000,,,,175904,,,,,,,,,,
1988-0578,Benicia,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/19/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Drake AD No 1988-A,1200000,1200000,0,,Special assessment bond,Street Construction and Improvements,Tax increment,,8.238,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,M L Stern & Company,,,,Security Pacific,Jones Hall Hill & White,,,,,0,0,,,,27192,,,,,,,,,,
1997-1212,Fairfield-Suisun Unified School District CFD No 4,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/30/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,1997-1216,Mello-Roos,Community Facilities District,Lawler Ranch,1855000,0,1855000,,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,6.288,NIC,,Federally Taxable,,08/15/2022 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Association of Bay Area Governments,,Andrew Ach & Associates Inc,Jones Hall A Professional Law Corp,,,,First Trust of California NA,2.23,41324,,,,69563,,,,,,,,,,
1988-0380,Vacaville Public Financing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/08/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,75880000,75880000,0,,Other bond,"Multiple Capital Improvements, Public Works",Tax increment,,8.65,NIC,,,,09/02/2018 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Altura Nelson & Co Inc,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
2011-1538,Dixon,2011-1538.pdf (http://cdiacdocs.sto.ca.gov/2011-1538.pdf),SOLD,01/03/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,1360700,0,1360700,,Public enterprise revenue bond,"Wastewater Collection, Treatment",Public enterprise revenues,3.071,,TIC,,,01/12/2012 12:00:00 AM,03/01/2021 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Umpqua Bank,,Del Rio Advisors LLC,Quint & Thimmig LLP,,,,,3.48,47330.75,,,,,,12750,17500,,,,500,,,16580.75
1991-0655,Fairfield Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/14/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,8065000,8065000,0,,Other note,"Water Supply, Storage, Distribution",General fund of issuing jurisdiction,7.342,,TIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,88715,,,,,,,,,,
2007-0063,Dixon Unified School District,2007-0063.pdf (http://cdiacdocs.sto.ca.gov/2007-0063.pdf),SOLD,01/25/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Gretchen Higgins ES,5450000,0,5450000,-23921,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,3.985,,TIC,,,09/01/2016 12:00:00 AM,09/01/2026 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Citigroup Global Markets Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,3.35,182314,,,,15162,,70000,30000,,15000,,3300,39352,9500,
1997-1641,Vallejo Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/14/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Series A,7000000,3519339,3480661,,Revenue anticipation note,"Project, Interim Financing",Local obligations,,4.75,NIC,,,,11/01/1998 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,OConnor & Company Securities Inc,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,1.46,102500,,,,0,,,,,,,,,,
1986-0818,"Solano Financing Corp(SOLANO CO, FAIRFIELD-SUISUN USD, VACAV",Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/29/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Non-Profit Corporation (501(c)(3)),,9575000,9575000,0,,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,,VAR,,,,,N/A,NOT RATED,M:Aaa/VMIG1,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Security Pacific Capital Markets Group,,,,,Jones Hall Hill & White,,,,,2.3,220508,,,,143625,,,,,,,,,,
1985-0333,Vacaville Housing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/21/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Housing Authority,Spring Glenn Apts,8355000,8355000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,9.576,,TIC,,,,,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Oth,Unknown,Neg,Unknown,Newman & Associates,,,,,Jones Hall Hill & White,,,,,0,0,,,,145000,,,,,,,,,,
1989-0061,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/07/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Hilborn Road-Martin Road AD B-37,2536000,2536000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.578,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,55792,,,,,,,,,,
1997-1603,Travis Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/30/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,13535000,5035000,8500000,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,6.85,NIC,,,,09/01/2027 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray Incorporated,,,,,Kutak Rock LLP,,,,First Trust of Washington,2,270150,,,,257165,,,,,,,,,,
1991-1369,Fairfield Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/23/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,12675000,0,12675000,,Revenue bond,"Redevelopment, Multiple Purposes",Tax increment,,7.913,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,190125,,,,,,,,,,
1999-0668,Fairfield-Suisun Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.142,NIC,,,,06/30/2000 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,Solano County,0.34,17112,,,,17850,,,,,,,,,,
